Aiptasia_ID	Treatment	Temperature	Strain	Replicate	PAM
Arduino_30_T1_1	Arduino	30	T1	1	0.631
Arduino_30_T1_2	Arduino	30	T1	2	0.601
Arduino_30_T1_3	Arduino	30	T1	3	0.611
Arduino_34_T1_1	Arduino	34	T1	1	0.514
Arduino_34_T1_2	Arduino	34	T1	2	0.627
Arduino_34_T1_3	Arduino	34	T1	3	0.605
Arduino_36_T1_1	Arduino	36	T1	1	0.316
Arduino_36_T1_2	Arduino	36	T1	2	0.303
Arduino_36_T1_3	Arduino	36	T1	3	0.403
Arduino_39_T1_1	Arduino	39	T1	1	0.049
Arduino_39_T1_2	Arduino	39	T1	2	0.103
Arduino_39_T1_3	Arduino	39	T1	3	0.021
Inkbird_30_T1_1	Inkbird	30	T1	1	0.609
Inkbird_30_T1_2	Inkbird	30	T1	2	0.572
Inkbird_30_T1_3	Inkbird	30	T1	3	0.641
Inkbird_34_T1_1	Inkbird	34	T1	1	0.53
Inkbird_34_T1_2	Inkbird	34	T1	2	0.606
Inkbird_34_T1_3	Inkbird	34	T1	3	0.601
Inkbird_36_T1_1	Inkbird	36	T1	1	0.423
Inkbird_36_T1_2	Inkbird	36	T1	2	0.432
Inkbird_36_T1_3	Inkbird	36	T1	3	0.387
Inkbird_39_T1_1	Inkbird	39	T1	1	0.033
Inkbird_39_T1_2	Inkbird	39	T1	2	0.026
Inkbird_39_T1_3	Inkbird	39	T1	3	0.163
Arduino_30_T2_1	Arduino	30	T2	1	0.656
Arduino_30_T2_2	Arduino	30	T2	2	0.643
Arduino_30_T2_3	Arduino	30	T2	3	0.643
Arduino_34_T2_1	Arduino	34	T2	1	0.49
Arduino_34_T2_2	Arduino	34	T2	2	0.627
Arduino_34_T2_3	Arduino	34	T2	3	0.562
Arduino_36_T2_1	Arduino	36	T2	1	0.349
Arduino_36_T2_2	Arduino	36	T2	2	0.098
Arduino_36_T2_3	Arduino	36	T2	3	0.311
Arduino_39_T2_1	Arduino	39	T2	1	0.017
Arduino_39_T2_2	Arduino	39	T2	2	0.18
Arduino_39_T2_3	Arduino	39	T2	3	0.024
Inkbird_30_T2_1	Inkbird	30	T2	1	0.609
Inkbird_30_T2_2	Inkbird	30	T2	2	0.562
Inkbird_30_T2_3	Inkbird	30	T2	3	0.625
Inkbird_34_T2_1	Inkbird	34	T2	1	0.549
Inkbird_34_T2_2	Inkbird	34	T2	2	0.61
Inkbird_34_T2_3	Inkbird	34	T2	3	0.633
Inkbird_36_T2_1	Inkbird	36	T2	1	0.267
Inkbird_36_T2_2	Inkbird	36	T2	2	0.24
Inkbird_36_T2_3	Inkbird	36	T2	3	0.132
Inkbird_39_T2_1	Inkbird	39	T2	1	0.019
Inkbird_39_T2_2	Inkbird	39	T2	2	0.019
Inkbird_39_T2_3	Inkbird	39	T2	3	0.126
