system,temp,species,rep,sample_label ,rep_1_sym,rep_2_sym,rep_3_sym,rep_4_sym,mean,SD sym,diameter (cm),radio (cm),SA (cm2),Sym_cm2
Arduino,30,Stylophora,1,A_C_1,2700000,2300000,3000000,2600000,2650000,288675.1346,1.48,0.74,1.719464,1541177.948
Arduino,30,Stylophora,2,A_C_2,3540000,2430000,3520000,3480000,3242500,542240.7215,1.617,0.8085,2.052530865,1579756.999
Arduino,30,Stylophora,3,A_C_3,1940000,1860000,1770000,1930000,1875000,78528.1266,1.578,0.789,1.95471594,959218.6576
Arduino,34,Stylophora,1,A_4 _1,1380000,1580000,1680000,1280000,1480000,182574.1858,1.194,0.597,1.11912426,1322462.619
Arduino,34,Stylophora,2,A_4_2,4080000,3040000,3250000,3350000,3430000,452179.9052,1.634,0.817,2.09591546,1636516.389
Arduino,34,Stylophora,3,A_4_3,2360000,2450000,3020000,1950000,2445000,440794.7368,1.625,0.8125,2.072890625,1179512.305
Arduino,36,Stylophora,2,A_6_2,2180000,4060000,2880000,2710000,2957500,793152.9907,1.57,0.785,1.9349465,1528466.033
Arduino,36,Stylophora,3,A_6_3,1280000,1460000,1550000,1380000,1417500,115000,1.46,0.73,1.673306,847125.3913
Arduino,39,Stylophora,1,A_9_1,1890000,1790000,2160000,1650000,1872500,215464.6143,1.596,0.798,1.99956456,936453.8847
Arduino,39,Stylophora,2,A_9_2,990000,1040000,1060000,991000,1020250,35311.70722,1.5655,0.78275,1.923870346,530311.2042
Arduino,39,Stylophora,3,A_9_3,1330000,1910000,927000,1120000,1321750,425298.6206,1.5945,0.79725,1.995807746,662263.1877
InkBird,30,Stylophora,1,I_C_1,3920000,3230000,3780000,3550000,3620000,301440.9837,1.677,0.8385,2.207678265,1639731.684
InkBird,30,Stylophora,2,I_C_2,2720000,2810000,2400000,2420000,2587500,208386.6598,1.558,0.779,1.90548074,1357925.035
InkBird,30,Stylophora,3,I_C_3,2880000,3380000,3000000,3260000,3130000,230072.4524,1.566,0.783,1.92509946,1625890.02
InkBird,34,Stylophora,1,I_4_1,3640000,3580000,3570000,3080000,3467500,260176.2223,1.5015,0.75075,1.769784266,1959278.352
InkBird,34,Stylophora,2,I_4_2,4230000,3020000,3390000,2580000,3305000,699928.5678,1.671,0.8355,2.191909185,1507817.944
InkBird,34,Stylophora,3,I_4_3,2480000,3100000,3540000,3600000,3180000,517171.7961,1.633,0.8165,2.093350865,1519095.558
InkBird,36,Stylophora,1,I_6_1,390000,346000,302000,3400000,1109500,1527422.557,1.6705,0.83525,2.190597646,506482.7865
InkBird,36,Stylophora,2,I_6_2,1060000,950000,892000,940000,960500,71000,1.6305,0.81525,2.086946246,460241.8494
InkBird,36,Stylophora,3,I_6_3,405000,278000,355000,330000,342000,52845.6873,1.578,0.789,1.95471594,174961.4832
InkBird,39,Stylophora,1,I_9_1,1040000,1910000,1560000,1880000,1597500,404011.1385,1.5185,0.75925,1.810086166,882554.6705
InkBird,39,Stylophora,2,I_9_2,3050000,2690000,352947,2600000,2173236.75,1229002.265,1.635,0.8175,2.098481625,1035623.436
InkBird,39,Stylophora,3,I_9_3,1120000,768000,517000,564000,742250,274389.4738,1.619,0.8095,2.057611385,360733.8127
